,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,615.7706263207967,615.7706263207969,-1.1368683772161603e-13,1.2950340798928297e-10,1978.6663207844356
Ocean_Mixed_Water,615.7834054672406,615.7834054672406,0.0,1.2950172814534471e-10,1978.6406546564879
Ocean_Column_Water,1.1115828263260232,1.1115828263260237,-4.440892098500626e-16,1.4363790475852575e-10,2194.625523342395
Coast_Surface_Water,9.327851991307602,9.327851991307604,-1.7763568394002505e-15,7.642590589465939e-11,1167.7018263595592
Coast_Column_Water,9.3541377975687,9.354137797568695,5.329070518200751e-15,7.654909906367992e-11,1169.5840793309335
Surface_Freshwater,3.3271119849841935e-19,3.3271119849841935e-19,0.0,5.467412738673251e-30,8.353591319166727e-17
Bulk_Freshwater,3.3358780852669504e-19,3.33587808526695e-19,4.81482486096809e-35,5.481779994528548e-30,8.375542869109645e-17
Sediment_Freshwater,1.1929970782965366e-21,1.1929970782965368e-21,-1.88079096131566e-37,3.248360439005888e-24,4.963129155582888e-11
Sediment_Ocean,1.0981488601109228,1.0981488601109226,2.220446049250313e-16,0.0011473335674119416,17529965623.488586
Sediment_Coast,0.015068448299267269,0.015068448299267269,0.0,0.00027439723977354424,4192480997.8107038
Urban_Soil_Surface,1.1764652541534165e-22,1.1764652541534165e-22,0.0,8.77675322699259e-27,1.3409891126846553e-13
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.8588988357441883e-22,1.858898835744188e-22,2.350988701644575e-38,8.77675322699259e-27,1.3409891126846553e-13
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,6.1963294524806286e-24,6.1963294524806286e-24,0.0,2.1941883067481477e-27,3.352472781711638e-14
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0672867090977718e-21,1.0672867090977712e-21,5.64237288394698e-37,4.4107765376253033e-35,6.739170126107868e-22
