,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,3.699270482367246e-05,3.6992704797437244e-05,1.2950340798928297e-10,1978.6663207844356
1,Ocean_Mixed_Water,0.0369922249755208,0.03699222494922611,1.2950172814534471e-10,1978.6406546564879
2,Ocean_Column_Water,1.2285214207345017,1.2285214198604961,1.4363790475852575e-10,2194.625523342395
3,Coast_Surface_Water,5.603737020612013e-07,5.6037370166256e-07,7.642590589465939e-11,1167.7018263595592
4,Coast_Column_Water,0.0002809563163566359,0.00028095631615676766,7.654909906367992e-11,1169.5840793309335
5,Surface_Freshwater,4.108723222255739e-26,4.1087232193331944e-26,5.467412738673251e-30,8.353591319166727e-17
6,Bulk_Freshwater,1.238132012950295e-23,1.2381320120695679e-23,5.481779994528548e-30,8.375542869109645e-17
7,Sediment_Freshwater,7.336848711821316e-21,7.336848707713935e-21,3.248360439005888e-24,4.963129155582888e-11
8,Sediment_Ocean,98.13035540047025,98.13035540147574,0.0011473335674119416,17529965623.488586
9,Sediment_Coast,0.6038124444248492,0.6038124443198868,0.00027439723977354424,4192480997.8107038
10,Urban_Soil_Surface,2.047937293431423e-22,2.0479372920771875e-22,8.77675322699259e-27,1.3409891126846553e-13
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,3.2358866842831024e-22,3.235886682143314e-22,8.77675322699259e-27,1.3409891126846553e-13
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,1.0786288947610342e-23,1.0786288940477712e-23,2.1941883067481477e-27,3.352472781711638e-14
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,1.1207607918388977e-24,1.1207607910440514e-24,4.4107765376253033e-35,6.739170126107868e-22
