species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9792632460635612
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.012259744177529286
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.007875110571034651
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.00036812053004047006
aB1_Utopia,Ocean_Mixed_Water,heterMP,0.5,0.00014438662956094521
aA1_Utopia,Ocean_Mixed_Water,freeMP,0.5,6.844946074794018e-05
aB9_Utopia,Sediment_Coast,heterMP,0.5,8.688870778920247e-06
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,5.536689073172438e-06
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,3.664341933976247e-06
aB4_Utopia,Coast_Column_Water,heterMP,0.5,1.2155438204726702e-06
