species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9792633253409532
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.012259745170031096
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.007875111208573362
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.00036812055984209455
aB1_Utopia,Ocean_Mixed_Water,heterMP,0.5,0.0001443866412499323
aA1_Utopia,Ocean_Mixed_Water,freeMP,0.5,6.844946628934566e-05
aB9_Utopia,Sediment_Coast,heterMP,0.5,8.688871482337858e-06
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,5.536689521401523e-06
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,3.6643422306272985e-06
aB4_Utopia,Coast_Column_Water,heterMP,0.5,1.21554391887843e-06
