species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.981303464966675
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.012285286402175084
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.006038139061017704
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.0003699244503464531
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,2.8095867308641723e-06
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,3.699292488407361e-07
aD3_Utopia,Coast_Surface_Water,heterBiofMP,0.5,5.603784079939787e-09
aC8_Utopia,Sediment_Ocean,biofMP,0.5,2.0841047470652282e-14
aC2_Utopia,Ocean_Column_Water,biofMP,0.5,9.369269918638247e-16
aC9_Utopia,Sediment_Coast,biofMP,0.5,2.1298773196062811e-16
