,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,615.7742827596285,615.7742827596285,0.0,1.2950417822412796e-10,2019.0592745979395
Ocean_Mixed_Water,615.7870620094155,615.7870620094154,1.1368683772161603e-13,1.295024983759318e-10,2019.0330846050786
Ocean_Column_Water,1.1115828035650137,1.1115828035650137,0.0,1.436387486910271e-10,2239.426956817535
Coast_Surface_Water,9.327930224809679,9.32793022480968,-1.7763568394002505e-15,7.64265476201452e-11,1191.5424808191144
Coast_Column_Water,9.354216161696241,9.35421616169624,1.7763568394002505e-15,7.654974108836217e-11,1193.4631517811135
Surface_Freshwater,3.3271494987219187e-19,3.327149498721919e-19,-4.81482486096809e-35,5.4674744927130184e-30,8.524169053458362e-17
Bulk_Freshwater,3.3359156489696896e-19,3.33591564896969e-19,-4.81482486096809e-35,5.481841830730226e-30,8.546568722312514e-17
Sediment_Freshwater,1.1930039306004835e-21,1.1930039306004833e-21,1.88079096131566e-37,3.248379096849617e-24,5.064446594559392e-11
Sediment_Ocean,1.0981487584197676,1.0981487584197676,0.0,0.0011473334611661677,17887718367.523197
Sediment_Coast,0.015068484750789809,0.015068484750789805,3.469446951953614e-18,0.00027439790355769574,4278052183.352517
Urban_Soil_Surface,1.1764722942965296e-22,1.1764722942965299e-22,-2.350988701644575e-38,8.77680574838969e-27,1.3683644258806258e-13
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.8589099596713847e-22,1.858909959671385e-22,-2.350988701644575e-38,8.77680574838969e-27,1.3683644258806258e-13
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,6.1963665322379495e-24,6.1963665322379495e-24,0.0,2.1942014370974224e-27,3.4209110647015645e-14
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0672930959002276e-21,1.0672930959002274e-21,1.88079096131566e-37,4.4108029323683313e-35,6.876745361535238e-22
