,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,3.699292491031185e-05,3.6992924884076424e-05,1.2950417822412796e-10,2019.0592745979395
1,Ocean_Mixed_Water,0.03699244506094303,0.03699244503464813,1.295024983759318e-10,2019.0330846050786
2,Ocean_Column_Water,1.2285286410916143,1.228528640217602,1.436387486910271e-10,2239.426956817535
3,Coast_Surface_Water,5.603784083926667e-07,5.603784079940215e-07,7.64265476201452e-11,1191.5424808191144
4,Coast_Column_Water,0.00028095867328630886,0.0002809586730864387,7.654974108836217e-11,1193.4631517811135
5,Surface_Freshwater,4.1087696376263846e-26,4.108769634703802e-26,5.4674744927130184e-30,8.524169053458362e-17
6,Bulk_Freshwater,1.2381459817687147e-23,1.2381459808879757e-23,5.481841830730226e-30,8.546568722312514e-17
7,Sediment_Freshwater,7.336890866641588e-21,7.336890862534176e-21,3.248379096849617e-24,5.064446594559392e-11
8,Sediment_Ocean,98.13034649566407,98.13034649666959,0.0011473334611661677,17887718367.523197
9,Sediment_Coast,0.6038139062067546,0.6038139061017916,0.00027439790355769574,4278052183.352517
10,Urban_Soil_Surface,2.0479495523973027e-22,2.0479495510430568e-22,8.77680574838969e-27,1.3683644258806258e-13
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,3.2359060543217162e-22,3.235906052181911e-22,8.77680574838969e-27,1.3683644258806258e-13
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,1.078635351440572e-23,1.0786353507273037e-23,2.1942014370974224e-27,3.4209110647015645e-14
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,1.1207675007202439e-24,1.1207674999253919e-24,4.4108029323683313e-35,6.876745361535238e-22
