Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0, 0, 0, 0, 0]",8.215402511494373e-07,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",5.449874081195323e-06,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[0.0, 1.5854895991882296e-08, 0.0, 0.0, 0.0]",0.007275258769968239,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[0.0, 0.0, 1.5854895991882294e-07, 0.0, 0.0]",56.54879301933238,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 1.5854895991882295e-06, 0.0]",550106.7738392972,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0, 0, 0, 0, 0]",0.0,8.319049301156804e-16,1.1574074074074074e-06,0.0,8.546511627906976e-09,1.049519374847094e-06,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,5.428120052900945e-15,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[0.0, 1.585490127684587e-10, 0.0, 0.0, 0.0]",0.0,7.275054313886768e-12,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[0.0, 0.0, 1.5854895997167266e-09, 0.0, 0.0]",0.0,5.6548790996822576e-08,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 1.5854895991887584e-08, 0.0]",0.0,0.0005501067738190957,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0, 0, 0, 0, 0]",0.000364389915082287,0.0,0.0,0.0,8.546511627906976e-09,0.00022262072786816494,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",0.0013616785387678383,0.0,0.0,0.0,8.546511627906976e-09,0.00043633304315171393,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[0.0, 9.512937595129377e-09, 0.0, 0.0, 0.0]",0.12677629506930527,0.0,0.0,0.0,8.546511627906976e-09,0.0027581926805953848,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[0.0, 0.0, 8.085996955859972e-08, 0.0, 0.0]",20.741209592020706,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 7.94330289193303e-07, 0.0]",1011167.9808373844,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0, 0, 0, 0, 0]",0.0,3.644981107069498e-13,0.0,0.0,8.546511627906976e-09,0.00022267742146083903,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-11, 0.0, 0.0, 0.0, 0.0]",0.0,1.3618271092509709e-12,0.0,0.0,8.546511627906976e-09,0.00043637295162704206,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,8.022536812036404e-11,"[0.0, 9.512939430186434e-11, 0.0, 0.0, 0.0]",0.0,1.2677681865661516e-10,0.0,0.0,8.546511627906976e-09,0.002758203472466932,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,"[0.0, 0.0, 8.085996958399845e-10, 0.0, 0.0]",0.0,2.0741205434346587e-08,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,"[0.0, 0.0, 0.0, 7.943302891935662e-09, 0.0]",0.0,0.0010111679807968635,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
