species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,0.45840504116867964
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.44675131402576157
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.07459409716469063
dD4_Utopia,Coast_Column_Water,heterBiofMP,500.0,0.0058905164248593
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.005170690921246687
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.004507788642243855
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0018831306635474622
eD4_Utopia,Coast_Column_Water,heterBiofMP,5000.0,0.0009548999831485927
dD2_Utopia,Ocean_Column_Water,heterBiofMP,500.0,0.0007843731662749676
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,0.0004768325351122669
