,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,0.2359976517786478,2.4425346022106883e-06,8.410630013591068e-07,0.0027500475874272126
1,Ocean_Mixed_Water,53.3012718960835,0.0023460598233659247,1.8995836348077525e-07,0.0026414267177087285
2,Ocean_Column_Water,0.1244667572741934,0.1247773484562519,1.481478795817991e-11,0.00469198326632265
3,Coast_Surface_Water,0.006045242555671727,1.4988404864958166e-07,8.3932917008991e-07,0.006574347242563631
4,Coast_Column_Water,0.6845589182019471,7.387586940158491e-05,1.8987502884771054e-07,0.006473486732484452
5,Surface_Freshwater,7.9579493587458745e-25,6.517185521517553e-25,1.0780325683053345e-28,2.789134332035781e-20
6,Bulk_Freshwater,3.157955388054427e-22,1.9693665349953088e-22,1.4233653064809074e-28,2.8042425609753215e-20
7,Sediment_Freshwater,4.9424470836258583e-17,2.4082931004078395e-19,2.2276779889170307e-20,3.429243815947632e-14
8,Sediment_Ocean,45.193695139066,99.45239679664026,0.0005379227555972558,373969.3039952046
9,Sediment_Coast,0.4539643950400609,0.4204033267920719,0.00021001736610893896,61443.818394485555
10,Urban_Soil_Surface,1.319968134110795e-18,1.360033552725608e-21,5.758858616643497e-23,1.8745681316383992e-17
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,2.085643599804957e-18,2.1489498128475794e-21,5.758858616643495e-23,1.874568131638399e-17
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,6.95214533268319e-20,7.163166042825266e-23,1.439714654160874e-23,4.686420329095998e-18
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,7.223700334640166e-21,7.736998653586179e-26,2.8941269980879512e-31,9.792848177569752e-28
