Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",3.773473961400761e-08,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",9.356038913593727e-08,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[1.5696347031963472e-08, 1.5854895991882296e-10, 0.0, 0.0, 0.0]",4.663764718642052e-06,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5839041095890412e-07, 0.0, 1.5854895991882296e-10, 0.0, 0.0]",0.017373268954518156,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.5853310502283108e-06, 0.0, 0.0, 1.5854895991882296e-10, 0.0]",163.46548887191494,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.298450024964564e-17,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0003057135438595072,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[2.5931208065295157e-11, 0.0, 0.0, 0.0, 0.0]",0.0,2.6822586153980634e-17,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.00027817426046282536,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[1.571398559384979e-10, 1.5872712721060394e-12, 0.0, 0.0, 0.0]",0.0,4.401378330077372e-15,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[1.5839058914791603e-09, 0.0, 1.5854913828620225e-12, 0.0, 0.0]",0.0,1.737118926257629e-11,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.5853310520118086e-08, 0.0, 0.0, 1.5854896009719056e-12, 0.0]",0.0,1.6346546861207005e-07,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.4025155484423012e-07,0.0,0.0,0.0,8.546511627906976e-09,0.00022262072786816494,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp2,3.2090147248145615e-10,"[2.3782343987823448e-09, 0.0, 0.0, 0.0, 0.0]",3.2153366055755757e-07,0.0,0.0,0.0,8.546511627906976e-09,0.00043633304315171393,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp3,3.2090147248145615e-10,"[9.417808219178084e-09, 9.512937595129377e-11, 0.0, 0.0, 0.0]",4.205131315977745e-05,0.0,0.0,0.0,8.546511627906976e-09,0.0027581926805953848,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp4,3.2090147248145615e-10,"[8.077910958904112e-08, 0.0, 8.085996955859971e-11, 0.0, 0.0]",0.006619100804091459,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,biofMP,mp5,3.2090147248145615e-10,"[7.942508561643837e-07, 0.0, 0.0, 7.943302891933031e-11, 0.0]",300.4716242733478,0.0,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
