,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,0.19112643986955333,2.0590118614213487e-05,6.695853233378196e-07,1015.4446143771847
1,Ocean_Mixed_Water,7.591837689189754,0.020637431611510933,2.6596964278274905e-08,1017.7779534509368
2,Ocean_Column_Water,0.6345022620713789,0.6886398079727908,7.424027093633364e-11,1134.2550829802851
3,Coast_Surface_Water,0.004892522917078462,5.732224781052269e-07,6.677528697805582e-07,1101.3322161391948
4,Coast_Column_Water,0.09720723618484899,0.00028760913532454874,2.6504518817023017e-08,1103.9165432867314
5,Surface_Freshwater,3.1655564613480944e-23,3.433116111950545e-23,4.215461070524129e-27,6.435699350854813e-14
6,Bulk_Freshwater,9.577912398766357e-21,1.0373824199960676e-20,4.243708598421817e-27,6.470320814101927e-14
7,Sediment_Freshwater,3.975793824433588e-17,1.2527308996269209e-17,1.7615644971313708e-20,7.813483878351653e-08
8,Sediment_Ocean,90.46432662062662,98.18755840908938,0.0010584826122547008,16172422204.110172
9,Sediment_Coast,1.016107229140761,1.1028555788498944,0.00046210137987337914,7060388601.707975
10,Urban_Soil_Surface,1.068929748594714e-18,1.6602305310714949e-19,4.5844415708627394e-23,1.0023465753186898e-10
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,1.6889850831888006e-18,2.623282404967059e-19,4.5844415708627394e-23,1.0023465753186898e-10
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,5.629950277296003e-20,8.744274683223532e-21,1.146110392715685e-23,2.505866438296725e-11
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,5.8501292133959485e-21,6.316137886897998e-25,2.3040273506285326e-31,3.5017570417057795e-22
