species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,0.46295445646025085
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.4513879540890494
eD1_Utopia,Ocean_Mixed_Water,heterBiofMP,5000.0,0.06477049482392173
dD4_Utopia,Coast_Column_Water,heterBiofMP,500.0,0.00594927677690058
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.005229368309903251
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.004570499775727989
eD0_Utopia,Ocean_Surface_Water,heterBiofMP,5000.0,0.0029424150539661183
eD4_Utopia,Coast_Column_Water,heterBiofMP,5000.0,0.0008284872868503134
dD0_Utopia,Ocean_Surface_Water,heterBiofMP,500.0,0.0005733553946907228
cD2_Utopia,Ocean_Column_Water,heterBiofMP,50.0,0.0005033370231615362
