species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.7228673695641484
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.25005831562497965
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.021584502143242923
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.0024532919853627816
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,0.0015415859541409627
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0010376848301556427
cD9_Utopia,Sediment_Coast,heterBiofMP,50.0,0.0002185524919555787
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.00019035975347499024
cD2_Utopia,Ocean_Column_Water,heterBiofMP,50.0,2.4068606520812023e-05
dD1_Utopia,Ocean_Mixed_Water,heterBiofMP,500.0,2.213758999806807e-05
