,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,5947085.710637104,5947085.710637103,9.313225746154785e-10,1.2527563369130135e-06,0.003356866815903465
Ocean_Mixed_Water,5947115.018268839,5947115.01826884,-9.313225746154785e-10,1.8804606691303486e-07,0.002729186359048383
Ocean_Column_Water,2.569158339647646,2.569158339647645,8.881784197001252e-16,7.629142776457842e-12,0.004858302121898196
Coast_Surface_Water,152229.6997116877,152229.6997116877,0.0,1.2492763541992988e-06,0.007314216340575529
Coast_Column_Water,152256.98074965828,152256.98074965834,-5.820766091346741e-11,1.8796593012224926e-07,0.006693934161818389
Surface_Freshwater,1.0506244278743376e-13,1.0506244278743376e-13,0.0,1.7326143532072036e-24,3.3055951436870424e-20
Bulk_Freshwater,1.0506279348353998e-13,1.0506279348354002e-13,-3.7865323450608567e-29,5.204902797463197e-26,3.3205072903526185e-20
Sediment_Freshwater,3.444751843922731e-18,3.4447518439227308e-18,3.851859888774472e-34,9.379566652391858e-21,3.972451310096994e-14
Sediment_Ocean,0.520120258271442,0.5201202582714421,-1.1102230246251565e-16,0.0005434157909570967,385876.1598372819
Sediment_Coast,0.011691406627747352,0.01169140662774735,1.734723475976807e-18,0.00021290113248617973,63542.73299958708
Urban_Soil_Surface,1.1497725262577712e-18,1.149772526257771e-18,1.925929944387236e-34,8.577618161278428e-23,2.547016825883417e-17
Urban_Soil,0.0,0.0,0.0,0.0,0.0
Background_Soil_Surface,1.816722425830784e-18,1.816722425830784e-18,0.0,8.577618161278428e-23,2.547016825883417e-17
Background_Soil,0.0,0.0,0.0,0.0,0.0
Agricultural_Soil_Surface,6.055741419435948e-20,6.055741419435948e-20,0.0,2.1444045403196073e-23,6.3675420647085434e-18
Agricultural_Soil,0.0,0.0,0.0,0.0,0.0
Air,1.0430711246493497e-17,1.0430711246493498e-17,-1.5407439555097887e-33,4.310700774646607e-31,1.1892500274110636e-27
