species,Compartment,MP_Form,Size_Fraction_um,number_fraction
bB8_Utopia,Sediment_Ocean,heterMP,5.0,0.37404608723419536
aB8_Utopia,Sediment_Ocean,heterMP,0.5,0.3426469346026293
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.1909165746649292
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.04933042799427049
cB8_Utopia,Sediment_Ocean,heterMP,50.0,0.04073873384026661
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0008094053141278245
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.0006405449784670497
dB8_Utopia,Sediment_Ocean,heterMP,500.0,0.00042664426231299885
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.0002581045850461469
aB2_Utopia,Ocean_Column_Water,heterMP,0.5,9.201394362460914e-05
