species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.7250597591236855
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.2515334253722835
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.021996507376869884
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.001017685758609644
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.00022817828187442484
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,0.00016241553380738193
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,9.275788502405588e-07
cD2_Utopia,Ocean_Column_Water,heterBiofMP,50.0,6.942480157578501e-07
eD8_Utopia,Sediment_Ocean,heterBiofMP,5000.0,2.6143805524417035e-07
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,9.138017745246397e-08
