species,Compartment,MP_Form,Size_Fraction_um,mass_fraction
eD8_Utopia,Sediment_Ocean,heterBiofMP,5000.0,0.5107464381874962
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.3438193338826082
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.07384103333236101
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,0.04879692673216998
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,0.022288500545617415
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0004581893778337721
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,4.755516065462445e-05
cD2_Utopia,Ocean_Column_Water,heterBiofMP,50.0,1.540075913931864e-06
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,3.6108153187783106e-07
eD2_Utopia,Ocean_Column_Water,heterBiofMP,5000.0,3.410850251510117e-08
