species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.9984535885276948
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.0013305849422638966
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00021443484250499383
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,1.0485831241171351e-06
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,1.4170659356083012e-07
bD2_Utopia,Ocean_Column_Water,heterBiofMP,5.0,1.3810049677087873e-07
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,6.260101467447374e-08
aD4_Utopia,Coast_Column_Water,heterBiofMP,0.5,4.788442890855317e-10
bD9_Utopia,Sediment_Coast,heterBiofMP,5.0,8.009005721455057e-11
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,6.472595098526799e-11
